pexp,lnpexp,lnpincome,lnpproper,lnedu,lnage,mari_dum,region1,region2,Prendowinsurance
14866.66666,9.606876849,10.19116962,9.364491052,2.302585093,3.465735903,1,0,0,0
6239.999998,8.738735461,9.210340372,9.721165996,2.538973871,3.970291914,1,0,0,0
4680,8.451053389,8.987196821,11.51292546,2.302585093,4.025351691,1,0,0,0
2257.142857,7.72185507,8.873868135,10.2601625,2.164963715,3.496507561,1,0,0,0
3028.57143,8.015846312,8.363042512,10.6656276,2.148434413,3.433987204,1,0,0,0
13960,9.543951376,10.30895266,12.61153775,2.397895273,3.555348061,1,1,0,0
2766.666666,7.925398505,8.853665428,9.44672915,2.367123614,3.850147602,1,1,0,0
4457.142858,8.402263225,8.987196821,9.343871765,2.043073897,3.688879454,1,0,0,0
4620,8.438149984,8.699514748,10.30895266,2.261763098,3.583518938,1,0,0,0
4866.666667,8.490164519,7.60090246,9.721165996,2.233592221,3.828641396,1,1,0,0
3939.999999,8.278936002,9.305650552,9.903487553,2.079441542,3.610917913,1,1,0,0
3379.999998,8.125630988,8.987196821,10.05763823,2.159484249,3.63758616,1,1,0,0
7559.999999,8.930626469,10.1266311,11.22524339,2.525728644,3.912023005,1,1,0,0
16599.99999,9.717157974,9.798127037,11.91839057,2.302585093,3.663561646,1,1,0,0
2050,7.625595072,7.313220387,10.1266311,2.251291799,3.891820298,1,1,0,0
3893.333334,8.267020968,8.517193191,10.19116962,2.397895273,3.761200116,1,1,0,0
1380,7.229838778,7.13089883,10.53209621,2.277267285,3.737669618,1,1,0,0
2399.999999,7.783224016,7.919356191,8.006367568,2.014903021,3.583518938,1,1,0,0
1925.000001,7.562681247,7.824046011,9.903487553,2.197224577,3.970291914,1,1,0,0
7566.666668,8.931507915,9.721165996,11.33060391,2.48490665,3.610917913,1,0,0,0
4733.333334,8.462384955,8.753581969,11.54571529,2.268683541,3.80666249,1,0,0,0
3880.000001,8.263590433,9.392661929,10.85256811,1.945910149,3.496507561,1,0,0,0
17533.33333,9.77185911,10.88431681,11.10746036,2.268683541,3.401197382,1,0,0,0
3429.999999,8.14031554,6.907755279,8.517193191,2.1690537,3.761200116,1,0,0,0
8260.000004,9.019179867,9.433483923,9.433483923,2.442347035,3.951243719,1,1,0,0
2555.000001,7.845807503,8.086410275,10.1266311,1.909542505,4.219507705,1,1,0,0
4622.222223,8.438630869,7.783224016,9.721165996,1.977162693,3.761200116,1,1,0,0
2040,7.620705087,7.771247825,9.343871765,2.288196356,3.912023005,1,1,0,0
1349.999999,7.207859871,8.006367568,7.60090246,1.871802177,4.219507705,1,1,0,0
1230,7.114769448,7.824046011,6.620073207,2.420368129,3.912023005,1,1,0,0
1944,7.572502985,7.863266724,6.907755279,2.261763098,4.158883083,1,1,0,0
1746.666667,7.465464489,7.755053139,6.907755279,1.791759469,3.465735903,1,1,0,0
6166.666664,8.726913722,9.721165996,10.81977828,2.302585093,3.688879454,1,1,0,0
4119.999999,8.323608442,9.210340372,11.44393259,2.268683541,3.713572067,1,1,0,0
1355,7.211556733,9.210340372,9.903487553,2.302585093,3.828641396,1,1,0,0
6733.333335,8.814825595,9.869586001,11.2472223,2.427748236,3.761200116,1,1,0,0
2399.999999,7.783224016,7.888584532,9.210340372,1.992430165,3.784189634,1,1,0,0
2613.333334,7.868381825,8.188689124,10.05763823,2.427748236,3.850147602,1,1,0,0
1550,7.34601021,7.718685495,10.30895266,2.014903021,3.988984047,1,1,0,0
1260,7.138867,7.195437351,10.41431318,1.673976434,3.496507561,1,1,0,0
2171.428572,7.683140558,7.60090246,8.650724584,1.966112856,3.713572067,1,1,0,0
3039.999999,8.019612794,8.476371197,8.699514748,2.028148247,4.043051268,1,1,0,0
3039.999999,8.019612794,8.411832676,10.1266311,2.1690537,3.784189634,1,1,0,0
3033.333334,8.017417404,7.755053139,10.05763823,2.036881927,3.951243719,1,1,0,0
2016.666666,7.609201262,7.60090246,9.721165996,1.575536361,4.127134385,1,1,0,0
4093.333333,8.317114913,8.944637206,9.721165996,2.036881927,3.496507561,1,1,0,0
1872,7.534762657,8.881836305,8.987196821,2.360854001,4.204692619,1,1,0,0
4430,8.396154863,8.006367568,8.29404964,2.140066163,3.63758616,1,1,0,0
3330,8.110727583,8.853665428,8.9226583,2.277267285,3.688879454,1,1,0,0
3566.666667,8.179386732,8.654052374,9.903487553,2.367123614,3.784189634,1,1,0,0
2904.999999,7.974188669,8.229511119,9.210340372,1.981001469,3.63758616,1,1,0,0
3080,8.032684876,8.411832676,9.433483923,1.704748092,3.63758616,1,1,0,0
1626.666666,7.39428821,8.699514748,10.50962336,2.335374915,3.912023005,1,1,0,0
1342.857143,7.202554819,7.341391264,8.873868135,1.791759469,4.094344562,1,1,0,0
1940,7.570443252,7.60090246,9.721165996,2.159484249,3.610917913,1,1,0,0
