pexp,lnpexp,lnpincome,lnpproper,lnedu,lnage,mari_dum,region1,region2,pension
3908.855894,8.271,8.923,9.21,2.197,4.111,1,1,0,1
3268.217473,8.092,8.945,10.945,2.197,4.111,1,1,0,1
9461.630458,9.155,9.065,8.517,2.197,3.689,1,0,1,1
8919.54308,9.096,8.882,9.51,2.197,4.025,1,0,1,1
6496.377547,8.779,8.817,6.438,2.197,3.526,1,0,1,1
5039.186806,8.525,9.105,6.438,2.197,3.611,1,0,1,1
6438.172464,8.77,8.517,8.923,2.197,3.664,1,0,1,1
5837.162007,8.672,8.78,10.309,2.197,4.174,1,0,1,1
2681.147088,7.894,8.243,8.294,2.197,3.714,1,0,1,1
2798.951047,7.937,8.006,9.616,2.197,3.611,1,0,1,1
3219.560054,8.077,8.923,9.77,2.197,3.332,1,0,1,1
4764.748338,8.469,8.517,9.21,2.197,3.784,1,0,1,1
4272.694766,8.36,8.335,9.593,2.197,3.784,1,0,1,1
3190.714015,8.068,8.517,9.903,2.197,3.638,1,0,1,1
4080.602794,8.314,8.875,6.908,2.197,3.611,1,0,1,1
5727.302895,8.653,9.616,10.389,2.197,3.932,1,0,1,1
23202.14476,10.052,9.568,10.309,2.197,4.06,1,0,1,1
2550.386002,7.844,9.21,10.82,2.197,3.135,1,0,1,1
2300.772005,7.741,7.131,10.127,2.197,3.135,1,0,1,1
1950.810098,7.576,7.741,10.82,2.197,4.127,1,0,1,1
2421.155053,7.792,8.805,9.903,2.197,3.829,1,0,1,1
1699.348124,7.438,8.74,10.309,2.197,3.045,1,0,1,1
2760.038754,7.923,8.7,11.002,2.197,3.951,1,0,1,1
3640.950307,8.2,8.955,9.903,2.197,3.85,1,0,0,1
2239.482295,7.714,8.161,10.463,2.197,3.989,1,0,0,1
915.0694829,6.819,7.601,9.21,2.197,3.258,1,0,0,1
5140.985132,8.545,9.616,6.908,2.197,3.258,1,0,0,1
1324.777765,7.189,9.21,9.529,2.197,3.296,1,0,0,1
2812.980848,7.942,7.889,10.191,2.197,4.007,1,0,0,1
5197.848142,8.556,9.852,9.903,2.197,3.045,1,0,0,1
8358.213608,9.031,9.903,11.29,2.197,4.19,0,1,0,1
7150.946467,8.875,8.854,9.903,2.303,3.85,1,1,0,1
5681.667258,8.645,9.105,10.309,2.303,3.871,1,1,0,1
4429.31401,8.396,7.824,9.21,2.303,3.555,1,1,0,1
925.1908125,6.83,8.7,6.215,2.303,3.497,1,1,0,1
4129.865009,8.326,8.517,10.127,2.303,3.584,1,0,1,1
1477.342286,7.298,7.419,7.824,2.303,3.367,1,0,1,1
4121.613533,8.324,8.161,9.433,2.303,3.871,1,0,1,1
724.8755609,6.586,8.086,8.517,2.303,3.258,1,0,1,1
4060.250702,8.309,8.854,10.127,2.303,3.714,1,0,1,1
1826.213543,7.51,8.9,9.028,2.303,3.892,1,0,1,1
4707.913052,8.457,7.313,10.127,2.303,3.045,1,0,1,1
2560.607976,7.848,8.923,9.616,2.303,3.912,1,0,0,1
5502.732137,8.613,9.21,10.736,2.398,2.996,0,1,0,1
4060.250702,8.309,10.309,10.309,2.398,2.833,0,1,0,1
4559.644778,8.425,9.903,11.513,2.398,3.497,0,0,1,1
18750.95569,9.839,8.78,9.903,2.398,3.761,1,1,0,1
7023.380965,8.857,8.923,9.616,2.398,3.714,1,1,0,1
2540.204834,7.84,7.919,8.517,2.398,3.989,1,1,0,1
6342.320564,8.755,9.616,10.309,2.398,3.761,1,1,0,1
5866.420903,8.677,9.21,8.112,2.398,3.555,1,1,0,1
6198.111947,8.732,8.7,8.112,2.398,4.111,1,1,0,1
3401.595958,8.132,8.086,8.78,2.398,3.258,1,1,0,1
2319.252003,7.749,8.854,9.616,2.398,3.584,1,0,1,1
5054.327065,8.528,8.7,8.805,2.398,3.401,1,0,1,1
2884.191797,7.967,9.21,9.903,2.398,3.526,1,0,1,1
6051.128121,8.708,10.309,11.513,2.398,3.584,1,0,1,1
980.4385779,6.888,8.006,9.903,2.398,3.932,1,0,1,1
778.9913953,6.658,6.908,9.21,2.398,3.97,1,0,0,1
4974.101349,8.512,8.923,8.923,2.485,2.944,0,1,0,1
4841.597465,8.485,8.923,10.82,2.485,3.689,0,1,0,1
2333.209345,7.755,9.498,10.414,2.485,2.944,0,1,0,1
1347.491507,7.206,8.7,7.601,2.485,2.89,0,1,0,1
2641.230009,7.879,9.21,11.107,2.485,3.219,0,1,0,1
16797.74617,9.729,9.903,10.309,2.485,3.951,1,1,0,1
12234.31515,9.412,9.21,10.597,2.485,3.951,1,1,0,1
7398.259139,8.909,9.306,9.21,2.485,3.932,1,1,0,1
6502.877173,8.78,9.21,9.21,2.485,3.401,1,1,0,1
5831.327763,8.671,9.699,7.313,2.485,3.555,1,1,0,1
5613.8947,8.633,9.364,10.597,2.485,3.892,1,1,0,1
2898.648869,7.972,9.086,9.498,2.485,3.219,1,1,0,1
2293.880032,7.738,7.919,9.616,2.485,4.025,1,1,0,1
2319.252003,7.749,8.987,10.127,2.485,3.97,1,1,0,1
963.911996,6.871,7.696,8.7,2.485,4.174,1,1,0,1
9779.073261,9.188,9.21,11.002,2.485,4.159,1,1,0,1
12136.83109,9.404,9.105,8.517,2.485,3.434,1,0,1,1
11092.22842,9.314,9.473,8.161,2.485,3.951,1,0,1,1
3501.68654,8.161,8.517,9.616,2.485,3.434,1,0,1,1
5675.988431,8.644,9.148,7.824,2.485,3.526,1,0,1,1
2771.101019,7.927,9.77,9.903,2.485,3.989,1,0,1,1
3586.743619,8.185,8.874,9.567,2.485,3.178,1,0,1,1
6342.320564,8.755,9.21,11.225,2.485,3.258,1,0,0,1
1526.907917,7.331,8.207,7.601,2.485,3.526,0,0,1,1
1765.165972,7.476,8.923,9.433,2.565,2.944,0,0,0,1
4619.307126,8.438,9.561,10.222,2.565,3.367,1,1,0,1
3869.962128,8.261,8.854,10.82,2.565,3.611,1,1,0,1
7150.946467,8.875,9.21,11.225,2.565,3.85,1,0,1,1
2319.252003,7.749,7.863,9.433,2.565,3.932,1,0,0,1
2841.251775,7.952,8.006,10.127,2.565,3.434,1,0,0,1
3932.37953,8.277,9.028,7.601,2.639,3.219,0,0,0,1
12004.05754,9.393,9.616,10.82,2.639,3.761,1,1,0,1
6317.001953,8.751,8.987,9.616,2.639,3.638,1,1,0,1
8630.001863,9.063,9.393,10.414,2.639,3.932,1,1,0,1
2779.426805,7.93,9.21,9.21,2.639,4.007,1,0,1,1
8518.537925,9.05,9.21,7.195,2.708,3.091,0,1,0,1
3310.981665,8.105,8.294,7.601,2.708,2.996,0,1,0,1
10270.18175,9.237,9.903,9.721,2.708,3.367,1,1,0,1
9604.62469,9.17,10.414,11.513,2.708,3.296,1,1,0,1
4138.133004,8.328,8.923,8.78,2.708,4.127,1,0,1,1
3604.722246,8.19,8.74,8.923,2.708,3.932,1,0,0,1
11226.13701,9.326,9.498,9.498,2.773,3.091,0,1,0,1
27200.75475,10.211,10.463,11.156,2.773,3.784,1,1,0,1
6298.079345,8.748,9.903,10.127,2.773,3.178,1,1,0,1
4011.818866,8.297,9.077,10.532,2.833,3.466,1,1,0,1
